Tarefa,Nº do Passo,Descrição do Passo (O Roteiro),Nota do Avaliador 1,Nota do Avaliador 2,Nota do Avaliador 3,Nota Consenso
Onboarding e Cadastro,1,Inserir e-mail e criar senha forte,1,1,1,1
Onboarding e Cadastro,2,Aguardar e digitar código SMS de 6 dígitos,1,3,1,2
Onboarding e Cadastro,3,Preencher formulário com 12 campos obrigatórios,3,1,2,2
Busca de Produto,1,Digitar termo no campo de pesquisa global,1,1,1,1
Busca de Produto,2,Aplicar filtros combinados (Preço e Categoria),2,1,3,2
Checkout e Pagamento,1,Seleção do endereço de entrega cadastrado,1,1,1,1
Checkout e Pagamento,2,Inserção de cupom de desconto promocional,3,1,1,2
Checkout e Pagamento,3,Digitar dados do cartão e selecionar parcelas,1,3,2,2
Checkout e Pagamento,4,Autenticação de segurança 2FA no app do banco,3,3,1,3
Gestão de Perfil,1,Localizar opção de alterar foto de perfil,1,2,1,1
Gestão de Perfil,2,Fazer upload de imagem (Ajuste e Crop),2,1,1,1
Configurações de Privacidade,1,Acessar menu de permissões e LGPD,2,3,1,2
Configurações de Privacidade,2,Revogar compartilhamento de dados com terceiros,3,3,1,3
Exportação de Relatórios,1,Definir período personalizado e formato (PDF/CSV),1,1,2,1
Exportação de Relatórios,2,Aguardar processamento assíncrono do arquivo,2,3,3,3
Exportação de Relatórios,3,Download do arquivo zipado via e-mail,3,1,2,2
Cancelamento de Assinatura,1,Localizar botão de cancelamento na conta,3,3,2,3
Cancelamento de Assinatura,2,Responder questionário obrigatório de motivo,2,1,3,2
Cancelamento de Assinatura,3,Confirmar intenção em janela modal de retenção,3,2,3,3
Suporte ao Cliente,1,Acessar central de ajuda / FAQ,1,1,1,1
Suporte ao Cliente,2,Iniciar chat com assistente virtual (Bot),2,3,1,2
Suporte ao Cliente,3,Transferência de atendimento para operador humano,3,3,2,3
Suporte ao Cliente,4,Envio de capturas de tela e anexos do problema,1,2,3,2
Suporte ao Cliente,5,Avaliação final de satisfação do atendimento,1,1,1,1
