Tarefa;Etapa;Descrição;Avaliador1;Avaliador2;Avaliador3
01. Cadastro de Conta;01;Clicar em Criar Conta na home do sistema;1;1;1
01. Cadastro de Conta;02;Preencher formulário inicial de dados cadastrais;1;2;1
01. Cadastro de Conta;03;Submeter e aguardar código SMS no smartphone;1;2;2
01. Cadastro de Conta;04;Digitar o código verificador enviado por SMS;2;1;2
01. Cadastro de Conta;05;Aceitar contrato de termos de uso e privacidade;1;1;1
02. Fluxo de Login;01;Digitar credenciais de e-mail e senha salvos;1;1;1
02. Fluxo de Login;02;Resolver o desafio do captcha de segurança;2;3;2
03. Busca de Produto;01;Digitar termo de pesquisa na barra superior;1;1;1
03. Busca de Produto;02;Interagir e aplicar filtros avançados de preço;1;2;2
03. Busca de Produto;03;Analisar a grade de resultados e selecionar item;1;1;1
04. Painel de Checkout;01;Revisar itens adicionados dentro do carrinho;1;1;2
04. Painel de Checkout;02;Mapear e preencher endereço com cálculo de frete;2;2;2
04. Painel de Checkout;03;Digitar dados do cartão de crédito e CPF;2;3;3
04. Painel de Checkout;04;Confirmar transação e aguardar tela de sucesso;3;3;3
05. Configuração de Perfil;01;Navegar até a aba de segurança do painel;2;2;1
06. Download de Relatório;01;Acessar a área de histórico de transações;1;1;1
06. Download de Relatório;02;Selecionar intervalo de datas no calendário;2;2;3
06. Download de Relatório;03;Clicar em exportar e aguardar download em lote;1;2;1
