Id;Hora de início;Hora de conclusão;Email;Nome;Para o Entrevistador;Qual sua Cidade/Estado/;Eu acho que gostaria de usar esse sistema com frequência..;Eu acho o sistema desnecessariamente complexo..;Eu achei o sistema fácil de usar..;Eu acho que precisaria de ajuda de uma pessoa com conhecimentos técnicos para usar o sistema..;Eu acho que as várias funções do sistema estão muito bem integradas..;Eu acho que o sistema apresenta muita inconsistência..;Eu imagino que as pessoas aprenderão como usar esse sistema rapidamente..;Eu achei o sistema atrapalhado de usar..;Eu me senti confiante ao usar o sistema..;Eu precisei aprender várias coisas novas antes de conseguir usar o sistema..
1;03/07/2026 10:32;03/07/2026 11:34;anonymous;;Perfil[A];Caxias do sul/RS;Concordo Parcialmente;Nem concordo Nem discordo;Concordo Parcialmente;Concordo Totalmente;Concordo Parcialmente;Concordo Parcialmente;Nem concordo Nem discordo;Concordo Parcialmente;Discordo Parcialmente;Concordo Totalmente
2;03/07/2026 10:16;03/07/2026 11:40;anonymous;;Perfil[A];Ceilândia/DF;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Parcialmente;Concordo Totalmente;Concordo Totalmente
3;03/07/2026 09:47;03/07/2026 11:43;anonymous;;Perfil[B];Sorocaba/SP;Nem concordo Nem discordo;Discordo Parcialmente;Concordo Parcialmente;Concordo Parcialmente;Discordo Parcialmente;Concordo Parcialmente;Concordo Parcialmente;Concordo Parcialmente;Discordo Totalmente;Concordo Totalmente
4;03/07/2026 11:57;03/07/2026 12:00;anonymous;;Perfil[A];Ceilândia/DF;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente
5;03/07/2026 11:48;03/07/2026 12:06;anonymous;;Perfil[A];Sorocaba/SP;Nem concordo Nem discordo;Discordo Parcialmente;Nem concordo Nem discordo;Concordo Parcialmente;Concordo Parcialmente;Nem concordo Nem discordo;Concordo Totalmente;Discordo Parcialmente;Concordo Parcialmente;Discordo Totalmente
6;03/07/2026 11:55;03/07/2026 12:34;anonymous;;Perfil[B];Caxias do sul/RS;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Concordo Parcialmente;Nem concordo Nem discordo;Discordo Totalmente;Concordo Parcialmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente
7;03/07/2026 12:07;03/07/2026 12:38;anonymous;;Perfil[A];Sorocaba/SP;Concordo Totalmente;Concordo Totalmente;Discordo Parcialmente;Concordo Totalmente;Concordo Totalmente;Concordo Parcialmente;Concordo Totalmente;Discordo Totalmente;Discordo Parcialmente;Concordo Parcialmente
8;03/07/2026 12:38;03/07/2026 12:59;anonymous;;Perfil[B];Sorocaba/SP;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Parcialmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente
9;03/07/2026 14:05;03/07/2026 14:40;anonymous;;Perfil[B];Sorocaba/SP;Nem concordo Nem discordo;Discordo Parcialmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente
10;03/07/2026 14:57;03/07/2026 15:16;anonymous;;Perfil[B];Sorocaba/SP;Nem concordo Nem discordo;Nem concordo Nem discordo;Nem concordo Nem discordo;Concordo Parcialmente;Concordo Parcialmente;Concordo Parcialmente;Discordo Parcialmente;Concordo Totalmente;Discordo Parcialmente;Concordo Totalmente
11;03/07/2026 12:38;03/07/2026 15:40;anonymous;;Perfil[A];Caxias do sul/RS;Concordo Parcialmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Parcialmente;Concordo Totalmente;Concordo Totalmente;Concordo Totalmente;Discordo Parcialmente;Concordo Parcialmente
12;06/07/2026 11:49;06/07/2026 11:52;anonymous;;Perfil[A];Fortaleza/CE;Concordo Totalmente;Nem concordo Nem discordo;Nem concordo Nem discordo;Discordo Totalmente;Nem concordo Nem discordo;Concordo Parcialmente;Nem concordo Nem discordo;Discordo Totalmente;Discordo Totalmente;Nem concordo Nem discordo
13;06/07/2026 12:14;06/07/2026 12:18;anonymous;;Perfil[B];Fortaleza/CE;Concordo Parcialmente;Discordo Totalmente;Concordo Totalmente;Discordo Parcialmente;Concordo Parcialmente;Nem concordo Nem discordo;Concordo Totalmente;Discordo Parcialmente;Concordo Totalmente;Discordo Totalmente
14;06/07/2026 13:33;06/07/2026 13:38;anonymous;;Perfil[A];Fortaleza/CE;Concordo Parcialmente;Discordo Parcialmente;Concordo Parcialmente;Concordo Parcialmente;Concordo Totalmente;Discordo Parcialmente;Concordo Parcialmente;Discordo Totalmente;Concordo Parcialmente;Discordo Parcialmente
